                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82028,                 4.5614,                0.47957,                0.89151,                 1.1653,                0.68276,                0.92771,                 0.8874,                0.72218,                0.60145,                0.37931,                0.41492,                0.13653,                0.69432,                 4.6829,                0.70215,                0.77202,                0.97852,                0.00028,                0.00028,                0.00028
                      2,                0.79222,                 4.1456,                0.37367,                0.68052,                 1.1173,                0.83159,                0.85143,                0.90452,                0.70894,                0.55219,                0.67241,                0.53889,                0.15482,                0.77492,                 4.0753,                0.52949,                0.93683,                 1.1097,             0.00057617,             0.00057617,             0.00057617
                      3,                0.80551,                 4.3376,                0.37887,                0.69906,                 1.1145,                0.83965,                0.81255,                0.89648,                0.65834,                0.75329,                0.56897,                0.61728,                 0.1783,                0.90201,                 4.4442,                0.41697,                 1.1903,                 1.2081,             0.00086838,             0.00086838,             0.00086838
                      4,                 0.8551,                 4.5558,                0.37006,                0.76129,                 1.1555,                0.87799,                0.77586,                0.84696,                0.66192,                0.65596,                0.51724,                0.44663,                0.12098,                0.84406,                 4.8611,                0.51849,                 1.4333,                 1.1841,              0.0011566,              0.0011566,              0.0011566
                      5,                0.97259,                 4.8425,                 0.3613,                0.81556,                  1.204,                 0.8055,                0.81034,                0.87865,                 0.6997,                0.52628,                    0.5,                0.42911,                0.09735,                0.84843,                 4.7033,                 0.3543,                 1.2702,                 1.1591,              0.0014409,              0.0014409,              0.0014409
                      6,                0.85128,                 4.1349,                0.36554,                0.71746,                 1.1628,                 0.7932,                0.77586,                0.87047,                0.59858,                0.58765,                0.53448,                0.52586,                0.14812,                0.94774,                 4.3932,                0.43436,                  1.592,                 1.1964,              0.0017213,              0.0017213,              0.0017213
                      7,                0.94493,                 4.4477,                0.35094,                0.73702,                 1.1675,                0.72015,                0.88743,                0.84849,                0.59092,                0.26716,                0.27586,                0.12365,                0.02814,                0.95598,                 5.8567,                0.22492,                 1.9003,                 1.1947,              0.0019208,              0.0019208,              0.0019208
                      8,                0.91012,                 4.4976,                0.35855,                0.71823,                  1.156,                0.74464,                0.81034,                0.84641,                0.62391,                0.31635,                0.32759,                 0.1908,                0.06164,                0.93589,                 5.8224,                0.27526,                 1.4892,                 1.1481,              0.0019076,              0.0019076,              0.0019076
                      9,                0.88167,                  4.372,                0.35373,                0.68002,                 1.1506,                0.84446,                0.67241,                0.73339,                0.57505,                0.56297,                0.44828,                0.38919,                0.11225,                0.92007,                  5.096,                0.25695,                 1.7966,                 1.1533,              0.0018944,              0.0018944,              0.0018944
                     10,                0.84767,                 4.2644,                0.36252,                0.67858,                 1.1075,                0.72209,                0.77586,                0.77385,                 0.5801,                0.38547,                0.41379,                0.19667,                0.05729,                0.89568,                 4.9871,                0.24213,                 2.5665,                 1.1498,              0.0018812,              0.0018812,              0.0018812
                     11,                0.85853,                 4.1469,                0.33622,                0.71095,                 1.1221,                0.81122,                0.81502,                0.85726,                0.66385,                0.57445,                0.43103,                0.33479,                0.07736,                0.87877,                 4.8776,                0.18196,                  1.101,                 1.1602,               0.001868,               0.001868,               0.001868
                     12,                0.85491,                  3.786,                0.32547,                 0.6813,                 1.1166,                0.80573,                0.85815,                0.90598,                0.69697,                0.68304,                0.62069,                0.59017,                0.15393,                0.82829,                 4.4116,                0.45389,                  1.215,                 1.0791,              0.0018548,              0.0018548,              0.0018548
                     13,                0.81052,                 3.6896,                0.31571,                0.67664,                 1.1161,                0.86411,                0.81034,                0.92702,                0.77607,                0.56207,                0.72414,                0.60942,                0.17826,                0.67993,                 4.1323,                  0.243,                0.87958,                0.93588,              0.0018416,              0.0018416,              0.0018416
                     14,                 0.8139,                 3.6674,                0.32809,                0.67923,                 1.1063,                0.92023,                0.77586,                0.93084,                0.74373,                0.69631,                0.56897,                0.60332,                0.18069,                0.83561,                 4.2233,                0.18849,                0.72157,                 1.0567,              0.0018284,              0.0018284,              0.0018284
                     15,                0.76952,                 3.7627,                0.32669,                 0.6189,                 1.0976,                0.79073,                0.84692,                0.91164,                0.70853,                0.79882,                0.48276,                0.56387,                0.21748,                0.76129,                 4.2826,                0.25776,                0.99479,                 1.0365,              0.0018152,              0.0018152,              0.0018152
                     16,                0.80635,                 3.5436,                0.31749,                0.63056,                 1.1043,                0.87509,                0.72473,                0.90793,                0.73787,                0.70989,                0.59072,                0.65336,                 0.1987,                 0.7654,                 4.0308,                0.27402,                0.75128,                  1.048,               0.001802,               0.001802,               0.001802
                     17,                0.77143,                 3.7098,                 0.3242,                0.61537,                 1.0895,                0.83434,                0.78161,                0.88476,                0.68851,                0.71012,                0.63361,                0.63051,                0.16484,                0.86145,                 4.1098,                0.26265,                0.86311,                  1.113,              0.0017888,              0.0017888,              0.0017888
                     18,                0.76572,                 3.7293,                0.30742,                0.60456,                 1.0707,                0.81531,                0.93103,                 0.9217,                0.73293,                0.61825,                 0.7069,                0.56415,                0.13343,                0.82688,                  4.109,                0.33185,                0.76074,                  1.051,              0.0017756,              0.0017756,              0.0017756
                     19,                0.75486,                 3.3988,                0.29978,                0.59824,                 1.0839,                0.86076,                0.85274,                0.92498,                0.69582,                0.70467,                 0.7069,                 0.6676,                0.20125,                0.83568,                 4.0006,                0.30961,                0.82916,                 1.1259,              0.0017624,              0.0017624,              0.0017624
                     20,                0.80829,                 3.7359,                0.28812,                 0.6075,                 1.1192,                0.91447,                0.82759,                0.92495,                0.71913,                0.79748,                    0.5,                0.56588,                0.19519,                0.81929,                 4.1417,                0.25514,                0.84225,                  1.089,              0.0017492,              0.0017492,              0.0017492
                     21,                  0.724,                 3.5169,                0.30305,                0.58991,                 1.0629,                0.85188,                0.91379,                0.94891,                0.74262,                0.70021,                0.60408,                0.57433,                0.21987,                0.81602,                 4.0979,                0.15124,                0.75726,                 1.0331,               0.001736,               0.001736,               0.001736
                     22,                0.72999,                 3.5252,                0.30743,                0.58866,                 1.0444,                0.89461,                0.75862,                0.86059,                0.69859,                0.69055,                0.58621,                0.51541,                0.15355,                0.73413,                 4.1643,                0.33117,                0.86719,                 1.0326,              0.0017228,              0.0017228,              0.0017228
                     23,                0.71943,                 3.6289,                 0.3298,                0.59454,                 1.0705,                0.86435,                0.82759,                0.89091,                 0.7404,                0.69848,                0.67906,                0.59175,                0.16678,                0.73837,                  3.974,                0.43024,                0.81698,                 1.0578,              0.0017096,              0.0017096,              0.0017096
                     24,                0.71115,                 3.6556,                0.30594,                 0.5775,                 1.0677,                  0.868,                0.79365,                0.90156,                0.75723,                0.75615,                0.69508,                0.70347,                0.23108,                0.73027,                 3.7104,                0.23079,                0.79233,                0.98952,              0.0016964,              0.0016964,              0.0016964
                     25,                0.67471,                 3.6924,                0.31138,                0.55429,                 1.0264,                0.84879,                0.82759,                0.92415,                  0.788,                0.73701,                0.72414,                0.71926,                0.25029,                0.71949,                 3.7524,                0.25325,                0.78128,                0.97442,              0.0016832,              0.0016832,              0.0016832
                     26,                0.67903,                 3.3356,                0.29173,                0.55993,                 1.0281,                0.89423,                0.87471,                0.92035,                0.77867,                0.80771,                0.72414,                 0.7152,                0.19703,                0.68112,                 3.9029,                0.21348,                0.72054,                0.95921,                0.00167,                0.00167,                0.00167
                     27,                0.75342,                 3.5905,                0.29059,                0.57106,                 1.0809,                0.92608,                0.87931,                0.94338,                0.81138,                0.73061,                0.67241,                0.67157,                 0.2455,                0.66433,                 3.8561,                0.25654,                0.64002,                0.95264,              0.0016568,              0.0016568,              0.0016568
                     28,                 0.7178,                 3.6241,                0.29768,                0.56076,                 1.0564,                0.91026,                0.86207,                0.92302,                0.76168,                0.79303,                0.62069,                0.63859,                 0.2267,                0.74368,                 3.7882,                 0.2673,                0.81554,                 0.9916,              0.0016436,              0.0016436,              0.0016436
                     29,                0.67848,                 3.4555,                0.29344,                0.53414,                 1.0314,                0.80035,                0.89655,                0.92142,                0.71014,                0.67193,                0.68966,                0.63741,                0.18329,                0.69693,                 3.9142,                0.20097,                0.84348,                0.97782,              0.0016304,              0.0016304,              0.0016304
                     30,                0.66562,                 3.2239,                0.27551,                0.51612,                  1.027,                0.91523,                0.87931,                0.95663,                0.79771,                0.82104,                0.74138,                0.75715,                0.26971,                 0.6931,                 3.7897,                0.29285,                 0.5632,                 0.9307,              0.0016172,              0.0016172,              0.0016172
                     31,                0.66269,                 3.3667,                 0.2888,                 0.5508,                 1.0164,                0.86367,                0.89655,                0.95275,                0.82636,                 0.7221,                0.75862,                0.76556,                0.26226,                0.55376,                 3.8087,                0.20086,                0.58309,                0.87011,               0.001604,               0.001604,               0.001604
                     32,                0.70942,                 3.2731,                0.29929,                0.55066,                 1.0537,                0.75992,                0.96552,                0.94363,                0.77337,                0.68063,                0.86207,                  0.796,                0.25759,                0.70708,                 3.7865,                0.33933,                0.64764,                0.90906,              0.0015908,              0.0015908,              0.0015908
                     33,                0.67151,                 3.1555,                0.29067,                0.54879,                 1.0288,                0.76132,                0.98995,                0.94821,                0.82685,                0.65529,                0.85223,                0.76331,                0.32415,                0.59312,                 3.5448,                 0.3716,                0.55265,                0.87227,              0.0015776,              0.0015776,              0.0015776
                     34,                0.63954,                 3.2795,                0.28306,                0.52623,                 1.0075,                0.80415,                      1,                0.94108,                0.82027,                0.67952,                0.84088,                0.73913,                0.31334,                0.60827,                 3.6405,                0.27628,                0.57118,                0.90686,              0.0015644,              0.0015644,              0.0015644
                     35,                0.65384,                 3.1534,                0.28556,                0.52401,                 1.0269,                0.85204,                0.91379,                0.94761,                0.80494,                0.70563,                 0.7853,                 0.7187,                0.26888,                0.65504,                 3.6486,                0.47389,                0.65032,                0.92165,              0.0015512,              0.0015512,              0.0015512
                     36,                0.69195,                 3.3568,                0.27014,                0.53856,                 1.0197,                0.85438,                0.91379,                0.95358,                0.81829,                0.76293,                0.84483,                0.82853,                0.28212,                0.62496,                 3.5554,                0.20628,                0.61401,                0.90205,               0.001538,               0.001538,               0.001538
                     37,                0.65344,                 3.2445,                0.28279,                0.53737,                 1.0289,                0.85897,                0.94515,                0.95902,                 0.8407,                0.77011,                0.80862,                0.79948,                 0.2864,                0.60012,                 3.5786,                0.26453,                0.57244,                0.89342,              0.0015248,              0.0015248,              0.0015248
                     38,                0.65131,                 3.1296,                 0.2691,                0.52017,                 1.0319,                0.77318,                0.94828,                0.94135,                0.80343,                0.64993,                 0.7931,                0.70066,                0.25017,                0.65814,                 3.6589,                0.32498,                0.64055,                0.91497,              0.0015116,              0.0015116,              0.0015116
                     39,                0.61883,                 2.9061,                0.25727,                0.50368,                 1.0022,                0.85701,                0.93001,                0.94428,                0.80748,                0.73914,                 0.7931,                0.72983,                0.27392,                0.65529,                  3.654,                0.27203,                 0.6553,                0.90377,              0.0014984,              0.0014984,              0.0014984
                     40,                0.59954,                 3.1464,                0.26547,                0.50386,                 1.0117,                0.86165,                 0.8591,                0.92608,                0.79312,                 0.7228,                0.72414,                0.70129,                0.27721,                0.68682,                 3.6227,                0.36708,                0.64745,                 0.9113,              0.0014852,              0.0014852,              0.0014852
                     41,                0.64137,                 3.0579,                0.28212,                 0.5341,                 1.0124,                0.79021,                0.94828,                0.94383,                0.82778,                0.67412,                0.81034,                0.75455,                0.27998,                0.62995,                 3.6687,                0.40885,                 0.5618,                0.90682,               0.001472,               0.001472,               0.001472
                     42,                0.60765,                 3.2124,                0.27239,                  0.509,                 0.9969,                0.84362,                0.94828,                0.95649,                0.83603,                0.75597,                0.75862,                0.74585,                0.26894,                0.60132,                 3.5987,                0.22578,                0.53055,                0.89296,              0.0014588,              0.0014588,              0.0014588
                     43,                0.63376,                 3.1568,                0.27018,                0.51682,                  1.025,                0.84036,                0.93103,                 0.9468,                0.81725,                0.71356,                 0.7931,                0.73336,                0.29082,                0.60879,                 3.5897,                0.23185,                0.56289,                0.94755,              0.0014456,              0.0014456,              0.0014456
                     44,                0.60974,                  3.277,                0.27511,                0.48355,                 1.0271,                0.78747,                0.94828,                0.93915,                0.81299,                0.73758,                0.87236,                0.81319,                0.25956,                0.59378,                 3.7043,                0.23528,                0.57607,                0.94067,              0.0014324,              0.0014324,              0.0014324
                     45,                0.59261,                 2.9077,                0.25407,                0.49327,                 1.0083,                0.85429,                0.89655,                0.95282,                 0.8295,                0.71749,                0.86207,                0.82126,                0.31666,                0.55906,                 3.5192,                0.23492,                0.52607,                0.90429,              0.0014192,              0.0014192,              0.0014192
                     46,                0.60364,                 3.1009,                0.26892,                0.50179,                  1.012,                0.92386,                0.82759,                0.95321,                0.81649,                0.82118,                0.71266,                0.79043,                0.25087,                0.57967,                 3.6258,                0.21995,                0.51842,                 0.8923,               0.001406,               0.001406,               0.001406
                     47,                0.59541,                 3.1978,                0.26321,                0.49176,                0.99905,                 0.8393,                0.90054,                0.94501,                0.81861,                0.71187,                0.76684,                0.69135,                0.22996,                0.59809,                 3.5934,                0.29048,                 0.5084,                0.89384,              0.0013928,              0.0013928,              0.0013928
                     48,                 0.5889,                 3.0483,                0.26483,                0.48725,                0.99377,                 0.8762,                0.87931,                0.96183,                0.84115,                0.70521,                 0.7069,                0.66136,                0.23366,                0.58952,                 3.5829,                0.25815,                0.50344,                0.86755,              0.0013796,              0.0013796,              0.0013796
                     49,                0.60073,                 2.9946,                0.25088,                0.46669,                 1.0029,                0.80395,                0.94828,                0.95608,                0.84121,                0.74499,                0.87931,                0.84237,                0.27899,                0.56446,                 3.5378,                0.25771,                0.52092,                0.85917,              0.0013664,              0.0013664,              0.0013664
                     50,                 0.6342,                 3.1545,                0.25473,                0.50927,                 1.0144,                0.88046,                0.88902,                0.95869,                0.82813,                0.69524,                0.82759,                0.75738,                0.26227,                0.59125,                 3.4806,                0.39284,                 0.5221,                0.88568,              0.0013532,              0.0013532,              0.0013532
                     51,                0.55805,                 2.9327,                0.26023,                0.44786,                0.97439,                0.88126,                0.89577,                0.94693,                0.82839,                0.74205,                0.84322,                 0.7953,                0.31239,                0.60382,                 3.4756,                0.30513,                0.54173,                0.89877,                0.00134,                0.00134,                0.00134
                     52,                0.60299,                 3.0306,                0.26522,                0.49419,                 1.0028,                0.83182,                0.93103,                0.95288,                0.83849,                0.72133,                0.81034,                0.79596,                0.31764,                0.58397,                 3.4177,                0.28329,                0.53207,                0.88066,              0.0013268,              0.0013268,              0.0013268
                     53,                0.61229,                 3.1093,                0.26083,                0.50591,                 1.0102,                0.83026,                0.92769,                0.94912,                0.83024,                0.74212,                0.84483,                0.81854,                0.30585,                0.61415,                 3.4365,                0.32095,                0.53441,                 0.9032,              0.0013136,              0.0013136,              0.0013136
                     54,                 0.5846,                 2.9409,                0.25739,                0.48442,                0.98647,                0.86117,                0.93103,                0.95713,                0.82524,                0.77984,                0.84483,                0.83309,                0.29485,                0.57228,                 3.4127,                0.27312,                0.55009,                0.86796,              0.0013004,              0.0013004,              0.0013004
                     55,                0.56789,                 2.9062,                0.24445,                0.47109,                 1.0033,                0.93466,                0.87931,                0.96434,                0.83998,                0.83884,                0.77586,                0.82628,                0.30805,                0.59985,                 3.4842,                0.41703,                0.48788,                0.90455,              0.0012872,              0.0012872,              0.0012872
                     56,                0.59346,                 3.1128,                0.25607,                0.46586,                 1.0022,                0.80704,                0.94828,                0.95911,                0.83836,                0.78958,                0.82759,                0.85842,                0.29252,                0.57168,                 3.4821,                0.26994,                0.53518,                0.89167,               0.001274,               0.001274,               0.001274
                     57,                0.57204,                 2.9477,                0.24619,                0.46844,                 1.0045,                0.86665,                0.94828,                0.96128,                 0.8425,                0.76812,                0.84483,                0.77883,                 0.2739,                0.57468,                 3.4634,                0.29514,                0.54522,                0.88573,              0.0012608,              0.0012608,              0.0012608
                     58,                0.53804,                 2.7633,                0.25379,                0.44311,                0.96564,                0.87298,                0.94828,                0.96044,                0.83219,                0.79014,                0.86207,                0.82418,                 0.2752,                0.59798,                 3.4524,                 0.3128,                0.54899,                 0.9004,              0.0012476,              0.0012476,              0.0012476
                     59,                0.56703,                 2.9872,                0.25538,                 0.4678,                0.98217,                0.85068,                0.96552,                 0.9591,                0.84863,                0.74387,                0.84483,                0.80888,                0.30954,                0.55859,                 3.4456,                0.27689,                0.51944,                0.87953,              0.0012344,              0.0012344,              0.0012344
                     60,                0.56179,                 2.7089,                0.24392,                0.43599,                0.98514,                0.87473,                0.96314,                0.95173,                0.84883,                0.73428,                0.80997,                0.69108,                0.25587,                0.50167,                 3.4834,                0.26255,                0.53412,                0.82288,              0.0012212,              0.0012212,              0.0012212
                     61,                0.54855,                 2.9385,                0.25591,                0.45085,                0.97221,                0.83114,                0.93352,                0.94431,                0.84983,                0.76997,                0.86573,                0.82933,                0.28905,                0.49106,                 3.4311,                0.24714,                0.49366,                0.83769,               0.001208,               0.001208,               0.001208
                     62,                0.54199,                 2.7029,                0.24789,                0.43595,                0.95227,                0.82506,                0.97585,                0.94358,                0.83932,                0.75227,                 0.8901,                0.78741,                0.27059,                0.51944,                 3.5425,                0.28526,                0.50617,                0.86055,              0.0011948,              0.0011948,              0.0011948
                     63,                0.56223,                 2.9331,                0.26378,                0.47276,                0.99456,                0.82522,                0.98276,                0.95023,                0.84539,                0.75239,                0.89655,                0.79134,                0.28146,                0.54777,                 3.5369,                0.32688,                0.51931,                0.87785,              0.0011816,              0.0011816,              0.0011816
                     64,                0.53708,                  2.787,                0.24505,                0.45367,                0.97899,                0.85019,                0.93103,                0.95432,                0.82192,                0.72446,                0.86207,                0.78014,                0.29851,                0.58573,                 3.4204,                0.24501,                0.50587,                0.88884,              0.0011684,              0.0011684,              0.0011684
                     65,                0.53876,                 2.7918,                0.23995,                0.42435,                 0.9665,                 0.8379,                0.94828,                0.95316,                0.84136,                0.76104,                0.86207,                0.79872,                0.29351,                0.54275,                 3.4468,                0.24464,                0.49248,                0.87743,              0.0011552,              0.0011552,              0.0011552
                     66,                0.54946,                 3.0326,                0.26005,                 0.4483,                0.97334,                0.88098,                0.93103,                0.95689,                0.84503,                0.74907,                0.87499,                0.79528,                0.28094,                0.52831,                 3.4101,                0.39793,                0.47717,                0.85989,               0.001142,               0.001142,               0.001142
                     67,                 0.5455,                 2.8157,                0.25568,                0.44225,                0.99226,                 0.8294,                0.93103,                0.94523,                0.82183,                0.72741,                0.82816,                0.76869,                0.27544,                 0.5933,                 3.4666,                0.32099,                0.50119,                0.90377,              0.0011288,              0.0011288,              0.0011288
                     68,                 0.5374,                  2.929,                0.25139,                0.42803,                0.95668,                0.82199,                0.96552,                0.96104,                 0.8503,                0.78699,                0.93103,                0.90236,                 0.3072,                0.56392,                 3.4163,                0.22595,                0.48846,                0.89355,              0.0011156,              0.0011156,              0.0011156
                     69,                 0.5216,                 2.6516,                0.24601,                0.42384,                0.97772,                0.85667,                0.92748,                0.96548,                0.85045,                0.80855,                0.87931,                 0.8818,                0.33244,                0.59264,                 3.4071,                0.41597,                0.50589,                 0.8873,              0.0011024,              0.0011024,              0.0011024
                     70,                0.51831,                 2.5247,                0.24939,                0.42009,                0.96933,                 0.8769,                0.87931,                0.95063,                 0.8341,                0.82494,                0.82759,                0.86393,                0.32012,                0.53661,                 3.3068,                0.54641,                0.53308,                0.85192,              0.0010892,              0.0010892,              0.0010892
                     71,                0.52774,                 2.9133,                0.23712,                0.45431,                0.97527,                0.85914,                0.94647,                 0.9648,                0.84145,                0.76696,                 0.7931,                0.80146,                0.31564,                0.58145,                 3.2974,                0.24944,                0.50005,                0.86541,               0.001076,               0.001076,               0.001076
                     72,                0.52445,                 2.8001,                 0.2475,                0.45209,                0.95371,                0.82552,                0.96552,                0.95736,                0.84462,                0.77082,                0.91379,                0.88476,                0.31421,                0.54232,                 3.4038,                0.20326,                0.47716,                0.85371,              0.0010628,              0.0010628,              0.0010628
                     73,                0.50461,                 2.9485,                0.24466,                0.42539,                0.97377,                0.85779,                  0.936,                0.95148,                0.83411,                0.79495,                0.86899,                0.83572,                0.29788,                 0.5787,                 3.4371,                0.26825,                 0.4875,                0.89937,              0.0010496,              0.0010496,              0.0010496
                     74,                0.52579,                 2.6492,                0.23096,                0.42664,                0.96661,                0.86131,                0.94828,                0.96198,                0.85332,                0.77661,                0.86207,                0.83976,                0.30503,                0.53505,                  3.423,                0.35461,                0.47827,                0.87495,              0.0010364,              0.0010364,              0.0010364
